Date,Cash & Equivalent,Euro Core 1-5,Euro Core 5-10,Euro Core 10+,Euro Semi-Core 1-5,Euro Semi-Core 5-10,Euro Semi-Core 10+,Euro Peripheral 1-5,Euro Peripheral 5-10,Euro Peripheral 10+,Euro IL,Supranational-Regional-Municipal-Local Authorities Agencies,UK Govt,US 1-5,US 5-10,US 10-20,EM EUR,Euro IG Corp,Euro IG 1-3,Euro IG 3-5,Euro HY Corp,UK IG Corp,US IG Corp,US IG 1-3,US IG 3-5,US HY Corp,HC EM Credit,ABS & MBS,Europe,North America,Pacific,Emerging
2012-03-16,169.996,191.341,235.606,273.938,276.348,929.376,342.562,291.568,1459.07,505.42,189.164,234.763,610.087,526.931,707.052,1080.712,219.465,230.988,187.356,226.243,198.565,208.329,821.617,195.312,661.53,944.328,271.444,164.963,131.315,124.627,148.235,295.714
2012-03-19,169.99,191.314,235.319,272.634,275.8,925.631,340.081,291.234,1455.097,502.215,188.83,234.471,608.545,527.225,708.591,1088.268,219.02,230.637,187.325,226.085,198.178,207.588,822.539,195.31,661.845,941.973,271.204,164.943,129.495,122.231,148.344,292.349
2012-03-20,169.993,191.28,235.777,274.714,274.468,916.51,335.125,290.189,1444.92,496.604,188.623,234.766,613.213,527.553,710.923,1098.027,219.216,230.742,187.329,226.145,197.812,208.278,823.473,195.261,662.154,940.134,270.912,164.934,127.635,120.568,149.042,292.076
2012-03-21,169.988,191.232,236.052,276.653,275.015,921.457,338.354,290.4,1449.926,499.053,188.859,235.173,613.419,527.189,710.586,1104.531,219.225,230.798,187.296,226.07,197.329,208.187,823.642,195.121,661.218,937.163,270.922,164.697,127.735,120.439,150.065,293.928
2012-03-22,169.985,191.168,235.831,276.361,274.131,914.791,334.148,289.302,1438.355,494.34,187.856,235.153,615.36,527.641,711.899,1107.977,218.939,230.531,187.237,225.891,196.876,208.186,823.895,195.184,661.734,932.742,270.759,164.566,125.777,116.905,148.525,288.905
2012-03-23,169.988,191.198,236.227,278.185,274.519,917.656,336.602,290.137,1444.604,496.299,188.354,235.566,618.884,527.929,713.465,1113.428,219.254,230.528,187.215,225.836,197.1,208.942,826.652,195.323,663.149,935.644,271.431,164.588,127.695,116.034,148.287,288.754
2012-03-26,169.988,191.1,235.765,276.594,274.27,915.73,335.261,289.935,1441.252,493.315,188.445,235.129,614.602,527.99,713.41,1115.219,219.486,230.587,187.267,225.924,197.995,208.703,827.981,195.424,663.424,937.785,271.66,164.52,127.983,116.835,151.063,290.829
2012-03-27,169.984,191.026,235.427,275.358,274.651,918.756,337.193,290.202,1443.566,493.915,188.866,234.771,612.01,528.024,712.472,1109.135,218.883,230.188,187.191,225.691,197.852,207.954,825.019,195.343,662.862,936.142,271.178,164.425,127.843,115.103,151.776,288.791
2012-03-28,169.983,191.095,235.794,276.842,274.529,917.106,336.024,289.79,1439.129,491.401,188.416,234.987,617.719,527.9,713.032,1113.466,218.549,230.347,187.189,225.781,197.79,208.965,825.804,195.373,663.138,932.315,271.231,164.457,127.051,115.341,150.17,285.182
2012-03-29,169.982,191.336,236.83,279.963,273.839,914.039,335.835,289.052,1435.187,490.427,189.187,235.684,621.176,529.086,717.859,1134.363,218.386,230.795,187.311,226.156,197.4,209.395,830.358,195.58,664.945,932.008,271.424,164.897,126.035,114.965,147.987,279.504
2012-03-30,169.98,191.278,236.294,277.409,274.071,914.571,334.88,288.819,1433.063,490.294,189.349,235.232,615.517,528.383,713.438,1115.933,218.408,230.273,187.274,225.926,197.232,207.981,826.37,195.562,663.714,933.802,270.973,164.787,127.437,116.77,148.398,283.634
2012-04-02,169.979,191.294,236.391,278.532,274.014,913.676,335.173,288.216,1428.228,488.776,189.572,235.296,618.535,528.47,713.776,1121.317,218.504,230.403,187.283,225.986,197.551,208.515,827.918,195.567,663.572,936.779,271.205,164.743,128.522,117.538,150.288,285.017
2012-04-03,169.981,191.376,236.499,279.232,273.828,911.514,333.705,288.441,1430.18,489.612,189.716,235.464,619.737,528.912,713.498,1110.731,218.451,230.55,187.382,226.162,197.467,208.951,826.556,195.818,664.9,935.959,270.49,165.091,126.717,116.341,150.89,283.683
2012-04-04,169.98,191.57,237.105,281.652,273.65,910.254,333.267,288.744,1431.195,490.184,190.897,236.074,624.808,528.82,713.573,1111.522,218.368,230.809,187.444,226.33,197.251,209.78,826.317,195.794,664.566,936.447,270.374,165.219,124.921,115.834,148.477,280.007
2012-04-05,169.977,191.68,237.66,283.569,273.258,910.245,334.666,288.171,1430.718,490.233,191.01,236.645,628.441,529.443,716.053,1120.312,218.336,231.214,187.488,226.558,197.315,210.6,828.797,195.846,665.353,935.967,270.629,165.282,124.313,114.809,149.694,280.077
2012-04-06,169.976,191.531,237.121,281.807,272.945,908.462,333.357,288.243,1431.332,489.731,190.735,236.327,625.976,528.807,713.259,1109.648,218.05,231.003,187.434,226.397,197.269,210.304,825.645,195.717,664.276,936.187,270.202,165.049,125.118,115.521,150.633,281.072
2012-04-09,169.974,191.379,236.606,280.283,272.563,906.162,333.054,287.84,1426.151,485.842,190.206,236.162,624.933,528.826,714.504,1118.867,218.285,230.918,187.42,226.3,197.11,210.003,826.597,195.609,663.699,934.62,270.045,165.12,123.632,114.866,148.783,277.03
2012-04-10,169.975,191.41,236.505,279.555,272.25,903.211,330.823,288.067,1429.329,486.967,190.739,236.005,623.709,528.919,713.864,1112.06,217.4,230.617,187.401,226.228,196.755,209.541,823.708,195.559,662.951,932.998,269.218,165.038,124.379,114.679,147.898,277.269
2012-04-11,169.973,191.277,235.868,276.498,272.393,903.364,329.892,288.461,1432.558,487.031,190.498,235.431,620.653,528.3,710.697,1096.468,217.215,230.372,187.406,226.123,196.793,208.863,821.377,195.495,662.248,933.079,268.791,165.034,122.27,113.493,146.663,275.17
2012-04-12,169.973,191.408,236.08,275.239,272.448,901.599,328.641,288.069,1426.787,484.697,191.233,235.335,619.377,528.358,710.472,1089.959,217.243,230.826,187.491,226.482,197.659,208.973,821.916,195.673,663.12,937.612,269.08,164.971,122.027,114.112,149.228,276.474
2012-04-13,169.969,191.649,237.129,277.733,271.83,896.633,325.778,286.99,1417.363,480.076,191.043,236.002,625.244,529.422,714.854,1099.808,217.172,231.61,187.654,227.1,197.88,210.677,827.303,195.949,665.963,938.864,269.232,165.369,120.719,113.377,150.337,275.644
2012-04-16,169.967,191.61,236.724,275.928,272.066,895.392,324.219,288.012,1424.544,481.364,190.922,235.508,623.557,529.377,715.857,1100.847,217.395,231.564,187.714,227.207,198.687,210.585,828.33,195.929,666.329,941.365,269.264,165.521,121.855,112.881,151.087,280.78
2012-04-17,169.964,191.733,237.416,278.123,272.435,898.373,326.462,288.145,1426.598,481.873,191.211,235.901,625.807,529.969,717.646,1104.162,217.538,231.751,187.69,227.249,198.864,211.024,832.273,196.208,668.151,942.517,269.643,165.648,123.271,115.689,153.564,283.303
2012-04-18,169.96,191.803,237.591,278.897,272.153,898.052,326.852,287.92,1424.099,480.339,190.926,236.081,628.419,529.68,716.8,1101.111,217.192,231.922,187.74,227.41,198.78,211.581,830.464,196.01,667.188,943.406,269.572,165.18,123.358,115.907,155.104,283.879
2012-04-19,169.959,191.841,237.67,279.092,272.105,898.812,326.83,288.383,1426.771,480.0,191.302,236.139,629.053,529.923,717.298,1099.904,216.961,231.789,187.73,227.417,198.752,211.665,831.81,196.228,668.74,944.291,269.644,165.39,123.761,115.326,155.83,282.974
2012-04-20,169.961,191.68,237.033,278.131,272.051,898.152,326.996,288.225,1427.424,482.792,191.021,235.909,625.392,529.233,714.752,1091.528,216.769,231.29,187.664,227.063,198.565,210.476,829.619,196.165,667.861,945.437,269.603,165.125,125.925,115.811,155.286,280.153
2012-04-23,169.959,191.835,237.542,278.49,272.566,900.642,328.507,288.153,1426.309,481.456,191.177,236.337,627.281,529.39,713.743,1079.066,217.167,231.544,187.748,227.319,198.825,211.083,827.234,196.239,667.907,948.657,269.464,165.181,127.036,116.612,156.355,281.039
2012-04-24,169.962,191.85,237.789,279.858,273.14,907.398,333.352,289.006,1438.636,489.673,192.005,236.577,628.542,529.734,715.78,1090.509,217.667,231.788,187.77,227.441,199.024,211.68,830.56,196.251,668.693,950.952,269.751,165.203,127.44,116.423,155.787,282.68
2012-04-25,169.963,191.906,238.052,281.278,273.326,909.011,335.297,288.989,1438.408,491.048,192.103,237.015,629.032,530.722,718.315,1099.297,218.19,232.065,187.809,227.63,199.152,211.955,833.643,196.441,670.158,950.612,270.409,165.388,127.203,115.449,155.456,281.316
2012-04-26,169.963,192.114,238.867,282.876,273.279,910.809,336.191,289.38,1443.883,492.462,192.999,237.408,632.31,531.058,721.145,1112.171,217.991,232.375,187.884,227.806,199.271,213.06,836.422,196.544,671.151,950.216,270.79,165.605,125.199,115.565,158.947,281.507
2012-04-27,169.963,192.124,238.823,282.806,272.301,905.889,334.054,288.391,1435.164,489.586,192.416,237.399,634.172,531.227,721.894,1114.893,218.231,232.656,187.968,228.003,199.805,213.59,839.917,196.822,672.839,953.121,271.237,165.704,126.289,115.372,159.801,282.867
2012-04-30,169.958,192.195,238.897,282.315,272.695,907.458,334.127,288.078,1432.451,488.374,192.09,237.303,633.556,531.497,722.785,1112.038,217.752,232.74,188.032,228.189,199.599,213.552,839.377,196.999,673.587,950.169,270.628,166.001,125.174,115.441,159.707,279.314
2012-05-01,169.957,192.317,239.5,283.815,273.017,911.96,337.843,289.144,1444.553,494.22,192.783,237.778,634.851,531.505,723.443,1119.096,217.987,233.227,188.093,228.421,199.622,214.061,841.587,197.072,673.897,949.216,270.579,166.374,124.186,115.108,160.491,278.669
2012-05-02,169.955,192.389,239.726,284.843,272.566,908.482,336.938,288.416,1436.942,490.827,192.19,237.894,637.804,531.923,726.324,1136.081,217.954,233.099,188.118,228.396,198.901,214.556,844.757,197.12,674.382,945.959,270.455,166.708,122.147,115.195,158.394,273.491
